H;10369661000142;20160107;20170613
V;05480599002256;11194;E;5125360;36000;20160215;20160222
V;05480599002256;11210;E;72400;12000;20160217;20160222
V;05480599002256;11625;E;1334400;60000;20160316;20160318
V;05480599002256;11643;E;74976;24000;20160317;20160318
V;05480599002256;11690;E;23520;12000;20160321;20160322
V;05480599002256;11721;E;2863920;480000;20160201;20160222
V;05480599002256;11733;E;2176057;121000;20160324;20160328
V;05480599002256;11777;E;1169193;24000;20160330;20160330
V;05480599002256;11812;E;822574;3000;20160401;20160402
V;05480599002256;11840;E;2352000;1200000;20160218;20160229
V;05480599002256;11865;E;615962;7000;20160406;20160406
V;05480599002256;11866;E;1652835;12000;20160406;20160422
V;05480599002256;11867;E;2592884;15000;20160406;20160415
V;05480599002256;11869;E;1326296;12000;20160406;20160422
V;05480599002256;13107;E;368642;1000;20170314;20170314
V;05480599002256;13932;E;3021680;40000;20170330;20170331
V;05480599002256;14128;E;501572;4000;20170405;20170405
V;05480599002256;16575;E;325344;48000;20170601;20170601
V;05480599002256;17050;E;285516;24000;20170612;20170612
V;05480599002256;21787;E;976400;240000;20160303;20160311
V;05480599002256;33648;E;1075808;36000;20170224;20170303
V;05480599002256;33768;E;3860281;20000;20170302;20170322
V;05480599002256;33821;E;1152182;24000;20170302;20170303
V;05480599002256;34402;E;13502214;1000;20170304;20170304
V;05480599002256;34414;E;13799357;109000;20170307;20170307
V;05480599002256;34451;E;1677240;300000;20170325;20170325
V;05480599002256;34471;E;358258;24000;20170404;20170404
V;05480599002256;46457;E;5581400;432000;20170123;20170130
V;05480599002256;46458;E;3661400;332000;20170123;20170203
V;05480599002256;46865;E;1765800;648000;20170206;20170211
V;05480599002256;46866;E;1710800;640000;20170206;20170213
V;05480599002256;47818;E;454800;240000;20170314;20170325
V;05480599002256;47820;E;1536000;80000;20170314;20170325
V;05480599002256;47821;E;454800;240000;20170314;20170325
V;05480599002256;47822;E;1152000;60000;20170314;20170325
V;05772606000401;3748;E;1194000;600000;20170216;20170303
V;05772606000401;6175;E;1472800;656000;20160216;20160229
V;05772606000401;6321;E;1796400;876000;20160317;20160331
V;05772606000401;7604;E;2256000;100000;20160927;20161010
V;05772606000401;7813;E;2256000;100000;20161021;20161110
V;05772606000401;7814;E;560000;80000;20161021;20161110
V;05772606000401;8004;E;1248000;300000;20161111;20161203
V;05772606000401;8005;E;1422000;360000;20161111;20161210
V;05772606000401;11371;E;594600;200000;20160229;20160229
V;05772606000401;11391;E;1984018;120000;20160301;20160314
V;05772606000401;11421;E;119754;12000;20160303;20160311
V;05772606000401;11458;E;659148;84000;20160305;20160311
V;05772606000401;11471;E;386536;1000;20160307;20160311
V;05772606000401;11705;E;113000;6000;20160322;20160323
V;05772606000401;11807;E;208000;20000;20160401;20160402
V;05772606000401;11809;E;1485131;24000;20160401;20160402
V;05772606000401;11811;E;722130;1000;20160401;20160422
V;05772606000401;11812;E;822574;6000;20160401;20160402
V;05772606000401;11827;E;916560;60000;20160402;20160413
V;05772606000401;11863;E;1213041;2000;20160406;20160422
V;05772606000401;11869;E;1326296;3000;20160406;20160422
V;05772606000401;11881;E;1551010;30000;20160408;20160415
V;05772606000401;11918;E;621847;36000;20160413;20160415
V;05772606000401;11926;E;875584;12000;20160413;20160422
V;05772606000401;11947;E;1222899;6000;20160415;20160415
V;05772606000401;11977;E;319250;120000;20160418;20160419
V;05772606000401;12070;E;1400381;1000;20160427;20160429
V;05772606000401;12088;E;33000;5000;20160502;20160509
V;05772606000401;12152;E;2058712;120000;20160510;20160520
V;05772606000401;12221;E;135156;24000;20160519;20160520
V;05772606000401;12223;E;860200;2000;20160519;20160521
V;05772606000401;12304;E;3306520;2000;20160608;20160610
V;05772606000401;12411;E;7311365;60000;20160713;20160829
V;05772606000401;12503;E;14266500;1200000;20161015;20170117
V;05772606000401;12522;E;2816000;1280000;20161101;20161201
V;05772606000401;14267;E;677813;36000;20170408;20170408
V;05772606000401;14852;E;1301754;24000;20170425;20170425
V;05772606000401;15933;E;2388000;1200000;20161227;20170107
V;05772606000401;15934;E;1194000;600000;20161227;20170112
V;05772606000401;16148;E;1194000;600000;20170217;20170303
V;05772606000401;16211;E;810900;60000;20170524;20170525
V;05772606000401;21795;E;52800;11000;20160304;20160311
V;05772606000401;21908;E;4224204;12000;20160307;20160314
V;05772606000401;24615;E;443078;720000;20160716;20160721
V;05772606000401;24820;E;466784;720000;20160722;20160806
V;05772606000401;25129;E;1463648;144000;20160730;20160806
V;05772606000401;27991;E;11280600;360000;20161018;20161019
V;05772606000401;28562;E;8412600;120000;20161105;20161129
V;05772606000401;29458;E;112800;60000;20161128;20161130
V;05772606000401;29651;E;1398200;720000;20161201;20161202
V;05772606000401;30469;E;6733920;600000;20161220;20161224
V;05772606000401;30662;E;1738300;28000;20161224;20161226
V;05772606000401;31672;E;100800;24000;20170113;20170113
V;05772606000401;31878;E;645073;48000;20170117;20170117
V;05772606000401;32038;E;1014470;48000;20170119;20170120
V;05772606000401;32574;E;358200;180000;20170201;20170220
V;05772606000401;33821;E;1152182;3000;20170302;20170303
V;05772606000401;34404;E;4916021;663000;20170304;20170304
V;05772606000401;34564;E;20500;1000;20170324;20170324
V;06369010000185;99692;E;17000;5000;20170519;20170520
V;07467822000126;1248;E;702864;72000;20160419;20160429
V;07467822000126;1569;E;3204600;1308000;20160629;20160630
V;07467822000126;1716;E;14700000;7000000;20161013;20161020
V;07467822000126;4136;E;4400000;2000000;20170104;20170106
V;07467822000126;10373;E;868720;360000;20160105;20160122
V;07467822000126;10419;E;2412352;41000;20160107;20160127
V;07467822000126;10420;E;329663;12000;20160107;20160122
V;07467822000126;10459;E;88054;1000;20160111;20160122
V;07467822000126;10460;E;53060;1000;20160111;20160122
V;07467822000126;10464;E;198685;1000;20160111;20160122
V;07467822000126;10471;E;107260;12000;20160111;20160122
V;07467822000126;10488;E;39360;24000;20160112;20160122
V;07467822000126;10490;E;1690;1000;20160112;20160122
V;07467822000126;10491;E;23330;6000;20160112;20160122
V;07467822000126;10493;E;131512;16000;20160112;20160122
V;07467822000126;10494;E;108216;24000;20160112;20160122
V;07467822000126;10509;E;62460;24000;20160112;20160122
V;07467822000126;10512;E;23893;1000;20160112;20160122
V;07467822000126;10513;E;609097;72000;20160112;20160122
V;07467822000126;10545;E;894983;27000;20160113;20160113
V;07467822000126;10582;E;1614601;265000;20160114;20160114
V;07467822000126;10595;E;1980141;93000;20160115;20160122
